ENADE_ID;NU_ANO;CO_IES;CO_GRUPO;CO_MODALIDADE;TP_SEXO;PERIODO;NT_GER;NT_FG;NT_CE;CO_RS_I1;CO_RS_I2;QE_I06;QE_I08;QE_I09;QE_I10;QE_I23;QE_I25;QE_I26;QE_I27;CO_TURNO_GRADUACAO
6927;2014;14;4006;1;M;;59.4;54.8;60.9;D;D;C;F;F;E;C;E;F;5;
6928;2014;14;4006;1;M;;26.7;36.0;23.6;B;C;B;F;E;E;D;E;F;6;
6929;2014;14;4006;1;M;;52.5;57.9;50.7;B;B;B;D;D;E;B;H;F;5;
6930;2014;14;4006;1;M;;;;;;;;;;;;;;;
6931;2014;14;4006;1;M;;52.6;22.5;62.6;C;C;C;B;E;E;C;B;C;3;
6932;2014;14;4006;1;M;;55.6;61.3;53.7;C;C;B;G;D;E;B;A;F;5;
6933;2014;14;4006;1;M;3;38.9;61.7;31.3;C;D;A;D;D;E;C;A;F;6;
6934;2014;14;4006;1;M;1;44.4;30.0;49.2;.;.;A;G;C;E;C;H;D;6;
6935;2014;14;4006;1;M;;55.5;65.2;52.2;D;D;B;B;E;E;A;E;F;5;
6936;2014;14;4006;1;M;;56.5;71.3;51.5;D;E;A;E;D;D;C;E;F;5;
6937;2014;14;4006;1;M;;;;;;;C;F;F;E;B;A;D;4;
6938;2014;14;4006;1;M;;;;;;;;;;;;;;;
6939;2014;14;4006;1;F;;72.2;65.9;74.3;B;D;B;F;C;E;E;C;C;6;
6940;2014;14;4006;1;M;;51.5;45.0;53.7;A;C;C;E;C;E;A;C;F;4;
6941;2014;14;4006;1;M;;51.7;62.3;48.2;C;D;C;E;E;E;B;E;D;2;
6942;2014;14;4006;1;M;;27.4;42.4;22.4;C;C;A;D;F;E;B;B;F;4;
6943;2014;14;4006;1;M;;69.8;64.3;71.6;C;C;B;D;C;A;C;E;G;5;
6944;2014;14;4006;1;M;;64.0;52.5;67.8;C;C;A;E;D;E;C;E;F;6;
6945;2014;14;4006;1;M;;55.6;83.0;46.5;C;C;C;A;D;E;B;C;C;4;
6946;2014;14;4006;1;M;;57.7;74.6;52.0;B;D;B;F;E;E;E;C;F;6;
6947;2014;14;4006;1;M;;;;;;;;;;;;;;;
6948;2014;14;4006;1;F;;31.0;30.0;31.3;C;D;B;B;C;A;D;A;F;5;
6949;2014;14;4006;1;M;;;;;;;B;F;D;E;C;E;I;6;
6950;2014;14;4006;1;M;;58.3;45.5;62.6;C;B;B;D;C;E;A;H;D;8;
6951;2014;14;4006;1;M;;45.7;48.8;44.7;C;C;B;E;E;E;B;B;F;2;
6952;2014;14;4006;1;F;;49.4;57.6;46.7;C;C;B;E;C;E;D;E;H;5;
6953;2014;14;4006;1;M;;29.1;22.5;31.3;C;C;C;D;D;E;C;A;F;6;
6954;2014;14;4006;1;M;;56.8;67.7;53.2;C;C;C;E;F;E;B;A;C;5;
6955;2014;14;4006;1;M;;57.2;67.6;53.7;D;D;B;F;D;E;B;E;C;4;
6956;2014;14;4006;1;M;;66.3;63.7;67.1;B;C;D;C;D;E;B;C;I;5;
6957;2014;14;4006;1;M;;65.0;75.6;61.4;B;C;B;F;D;E;B;H;I;3;
6958;2014;14;4006;1;M;3;42.6;67.4;34.3;C;C;B;C;C;E;D;C;I;4;
6959;2014;14;4006;1;M;1;61.9;73.4;58.1;C;D;C;D;F;E;B;C;F;6;
6960;2014;14;4006;1;M;;58.0;57.8;58.1;C;D;C;E;F;E;B;E;D;5;
6961;2014;14;4006;1;F;;38.9;56.4;33.0;C;C;A;C;D;E;B;E;F;4;
6962;2014;14;4006;1;M;;51.4;82.4;41.0;B;C;B;F;D;E;C;A;D;5;
6963;2014;14;4006;1;F;;59.0;72.3;54.5;C;D;A;D;D;E;C;A;F;5;
6964;2014;14;4006;1;M;;54.8;45.0;58.1;B;C;A;D;D;E;B;E;F;4;
6965;2014;14;4006;1;M;;;;;;;A;D;F;E;B;A;C;5;
6966;2014;14;4006;1;M;;28.7;47.4;22.4;.;.;C;E;E;E;B;C;F;3;
6967;2014;14;4006;1;M;;74.5;85.5;70.8;A;C;C;D;F;E;A;E;H;5;
6968;2014;14;4006;1;M;;43.5;62.0;37.3;B;C;C;E;F;E;D;E;F;5;
6969;2014;14;4006;1;M;3;72.6;96.6;64.6;B;D;C;E;C;E;B;C;F;5;
6970;2014;14;4006;1;M;1;25.8;22.5;26.9;C;C;B;D;D;E;B;E;B;5;
6971;2014;14;4006;1;M;;31.0;30.0;31.3;C;C;C;C;E;E;D;E;F;4;
6972;2014;14;4006;1;M;;23.9;15.0;26.9;C;D;A;C;C;D;A;A;C;5;
6973;2014;14;4006;1;M;;58.8;80.2;51.7;C;D;C;D;F;E;E;A;F;6;
6974;2014;14;4006;1;M;;62.4;54.9;64.9;B;C;C;F;D;E;D;C;F;5;
6975;2014;14;4006;1;M;;55.2;76.8;48.0;A;C;C;F;D;E;E;A;F;5;
6976;2014;14;4006;1;M;;42.4;48.7;40.3;C;C;D;B;F;E;B;E;F;6;
6977;2014;14;4006;1;M;;;;;;;;;;;;;;;
6978;2014;14;4006;1;M;;46.8;76.0;37.0;C;D;A;E;F;D;C;E;F;6;
6979;2014;14;4006;1;M;;47.5;69.0;40.3;C;C;C;F;F;E;E;A;C;4;
6980;2014;14;4006;1;M;;33.0;46.9;28.4;C;C;B;E;D;E;C;C;F;5;
6981;2014;14;4006;1;M;;48.7;80.7;38.0;A;C;C;E;F;E;A;A;C;3;
6982;2014;14;4006;1;M;;71.7;82.6;68.1;C;C;C;C;F;E;C;A;C;2;
6983;2014;14;4006;1;M;;36.4;58.3;29.1;D;D;A;D;D;E;E;A;F;4;
6984;2014;14;4006;1;M;;62.2;78.6;56.7;B;D;B;D;E;E;C;A;F;5;
16215;2014;56;4006;1;M;;62.6;79.5;57.0;C;D;B;E;E;E;C;E;F;5;
16216;2014;56;4006;1;M;;54.7;71.2;49.2;B;C;C;C;F;E;A;E;A;4;
16217;2014;56;4006;1;M;;70.6;77.9;68.1;B;B;C;E;E;E;A;A;F;6;
16218;2014;56;4006;1;F;;41.2;78.9;28.6;C;C;B;E;D;E;C;A;A;5;
16219;2014;56;4006;1;M;;47.2;65.0;41.3;B;C;B;E;D;E;B;E;C;4;
16220;2014;56;4006;1;M;;55.1;71.4;49.7;B;C;B;F;C;D;D;A;A;5;
16221;2014;56;4006;1;M;;;;;;;A;B;C;E;B;A;F;7;
16222;2014;56;4006;1;M;;55.4;85.1;45.5;C;C;B;E;C;E;B;A;F;6;
16223;2014;56;4006;1;M;;67.2;82.3;62.1;B;C;B;D;E;E;E;A;F;5;
16224;2014;56;4006;1;F;;64.2;82.5;58.1;C;C;B;B;C;A;B;A;A;4;
16225;2014;56;4006;1;M;;46.7;64.4;40.8;C;C;C;F;E;E;B;A;F;5;
16226;2014;56;4006;1;F;;54.2;51.1;55.2;C;C;C;D;E;E;B;A;F;3;
16227;2014;56;4006;1;M;;49.4;76.8;40.3;D;D;B;C;B;A;C;A;C;3;
16228;2014;56;4006;1;M;;37.1;54.5;31.3;C;C;B;A;E;E;B;A;F;3;
16229;2014;56;4006;1;F;;;;;;;;;;;;;;;
16230;2014;56;4006;1;M;;63.0;90.8;53.7;B;D;A;F;D;E;C;E;F;5;
16231;2014;56;4006;1;M;;;;;;;;;;;;;;;
16232;2014;56;4006;1;M;;;;;;;;;;;;;;;
16233;2014;56;4006;1;F;;52.9;83.1;42.8;A;C;B;E;B;A;D;H;F;6;
